name,comment
 【当当自营】华为 荣耀10 青春版 全网通4GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,60
 【当当自营】华为Mate20 Pro 6GB+128GB 亮黑色 全面屏徕卡三摄移动联通电信4G手机,60
 【当当自营】OPPO K3 全网通6GB+64GB 星云紫 移动联通电信4G手机 双卡双待,59
 【当当自营】OPPO K3 全网通8GB+256GB 星云紫 移动联通电信4G手机 双卡双待,58
 【当当自营】OPPO A9 全网通4GB+128GB 萤石紫 移动联通电信4G手机 双卡双待,58
 【当当自营】OPPO K3 全网通6GB+64GB 晨曦白 移动联通电信4G手机 双卡双待,58
 【OPPO旗舰店】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5,57
 【当当自营】OPPO A9 全网通6GB+128GB 云母绿 移动联通电信4G手机 双卡双待,57
 【当当自营】OPPO A9X 全网通6GB+128GB 曜石黑 移动联通电信4G手机 双卡双待,57
 【当当自营】华为 HUAWEI 畅享 9S 全网通 2400万超广角三摄珍珠屏大存储 移动联通电信4G手机 双卡双待,49
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+512GB 天空之境 全网通版双4,48
 【当当自营】OPPO K1 全网通6GB+64GB 梵星蓝 移动联通电信4G手机,39
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+512GB 极光色 全网通版双4G,38
 礼品卡 Nokia/诺基亚 230 DS直板双卡支持QQ 学生备用老人手机,37
 Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G手机 MQ6K2CH/A,32
 【当当自营】华为 荣耀20 Pro 全网通8GB+256GB 幻夜星河 移动联通电信4G手机 双卡双待,31
 纽曼 L66直板按键大字大声大屏老人机中老年人功能机手机,31
 礼品卡 Nokia/诺基亚 105直板 移动/联通版 老年人手机 学生机 备用机,31
 【当当自营】华为 荣耀20 全网通8GB+256GB 幻影蓝 移动联通电信4G手机 双卡双待,31
 支持礼品卡小米（MI） 红米S2 智能自拍手机 老人手机,31
 【当当自营】华为 荣耀20 全网通8GB+256GB 幻夜黑 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 荣耀20 Pro 全网通8GB+256GB 蓝水翡翠 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5i 全网通6GB+128GB 苏音蓝 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5 Pro 全网通8GB+256GB 亮黑色 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5 Pro 全网通8GB+128GB 绮境森林 移动联通电信4G手机 双卡双待,30
 【羽光白全新上市】vivo iQOO 生而强悍 骁龙855处理器 全面屏拍照游戏全网通4G智能手机,30
